x0,x1,y0,y1,z0,z1,face,material,surf_variant,flux_kW_m2,cos_theta
2.3000,2.4000,-0.7000,-0.6000,1.3000,1.3000,+z,ACRY,ACRY_R0250,250,0.2588
2.3000,2.4000,0.6000,0.7000,1.3000,1.3000,+z,ACRY,ACRY_R0300,300,0.2588
2.3000,2.5000,-0.6000,-0.5000,1.4000,1.4000,+z,ACRY,ACRY_R0250,250,0.2588
2.3000,2.5000,0.5000,0.6000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.3000,2.5000,-0.5000,-0.4000,1.5000,1.5000,+z,ACRY,ACRY_R0300,300,0.2588
2.3000,2.5000,0.4000,0.5000,1.5000,1.5000,+z,ACRY,ACRY_R0300,300,0.2588
2.4000,2.5000,-0.4000,-0.3000,1.6000,1.6000,+z,ACRY,ACRY_R0150,150,0.2588
2.4000,2.5000,0.3000,0.4000,1.6000,1.6000,+z,ACRY,ACRY_R0300,300,0.2588
2.4000,2.5000,-0.2000,0.2000,1.7000,1.7000,+z,ACRY,ACRY_R0300,300,0.2588
2.4000,2.6000,-0.7000,-0.6000,1.4000,1.4000,+z,ACRY,ACRY_R0250,250,0.2588
2.4000,2.4667,0.6000,0.7000,1.4000,1.4000,+z,ACRY,ACRY_R0300,300,0.2588
2.4667,2.6000,0.6000,0.7000,1.4000,1.4000,+z,ACRY,ACRY_R0250,250,0.2588
2.5000,2.6000,-0.9000,-0.8000,1.2000,1.2000,+z,ACRY,ACRY_R0150,150,0.2588
2.5000,2.6000,0.8000,0.9000,1.2000,1.2000,+z,ACRY,ACRY_R0150,150,0.2588
2.5000,2.6000,-0.6000,-0.5000,1.5000,1.5000,+z,ACRY,ACRY_R0250,250,0.2588
2.5000,2.6000,0.5000,0.6000,1.5000,1.5000,+z,ACRY,ACRY_R0300,300,0.2588
2.5000,2.6000,-0.5000,-0.4000,1.6000,1.6000,+z,ACRY,ACRY_R0300,300,0.2588
