azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
30.0,0.0,9,6,635.0000000000003,814.1666666666666,787.2222222222222,850.0,850.0,0.0,750.0,0.0,700.0,850.0,850.0,850.0,0.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0,850.0,800.0,0.0,700.0,0.0,700.0,850.0,850.0,635.0000000000003,0.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,9,6,375.0,630.8333333333334,653.8888888888889,850.0,750.0,0.0,750.0,0.0,750.0,850.0,450.0,500.0,0.0,500.0,850.0,0.0,0.0,0.0,0.0,0.0,850.0,700.0,0.0,700.0,0.0,700.0,850.0,450.0,375.0,0.0,490.0,770.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,9,6,330.0,888.3333333333334,881.1111111111111,1000.0,1000.0,0.0,900.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,400.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,330.0,0.0,0.0,0.0
180.0,5.0,9,6,330.0,888.3333333333334,881.1111111111111,1000.0,1000.0,0.0,900.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,400.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,330.0,0.0,0.0,0.0
330.0,5.0,9,6,50.0,658.3333333333334,683.3333333333334,850.0,850.0,0.0,750.0,0.0,750.0,850.0,0.0,850.0,0.0,850.0,850.0,0.0,50.0,0.0,0.0,0.0,850.0,800.0,0.0,700.0,0.0,700.0,850.0,0.0,500.0,0.0,850.0,850.0,0.0,50.0,0.0,0.0,0.0
210.0,5.0,9,6,50.0,538.3333333333334,597.7777777777778,850.0,800.0,0.0,750.0,0.0,750.0,850.0,0.0,500.0,0.0,500.0,850.0,0.0,50.0,0.0,0.0,0.0,850.0,700.0,0.0,700.0,0.0,750.0,850.0,0.0,500.0,0.0,480.0,500.0,0.0,50.0,0.0,0.0,0.0
240.0,0.0,9,5,815.0,843.0,740.5555555555555,850.0,800.0,0.0,700.0,0.0,750.0,850.0,0.0,850.0,0.0,850.0,850.0,350.0,0.0,0.0,0.0,0.0,850.0,700.0,0.0,700.0,0.0,700.0,850.0,0.0,850.0,0.0,815.0,850.0,350.0,0.0,0.0,0.0,0.0
120.0,15.0,9,5,360.0,502.9999999999999,516.6666666666666,850.0,700.0,0.0,650.0,0.0,650.0,850.0,500.0,400.0,0.0,0.0,0.0,650.0,600.0,0.0,0.0,0.0,619.9999999999995,500.0,0.0,500.0,0.0,530.0000000000001,500.0,500.0,360.0,0.0,0.0,0.0,605.0,535.0,0.0,0.0,0.0
90.0,45.0,9,5,350.0,616.0,536.6666666666666,700.0,600.0,0.0,550.0,0.0,200.0,700.0,0.0,350.0,0.0,700.0,700.0,550.0,0.0,0.0,0.0,0.0,700.0,550.0,0.0,500.0,0.0,200.0,700.0,0.0,350.0,0.0,630.0,700.0,500.0,0.0,0.0,0.0,0.0
60.0,15.0,9,5,300.0,560.0,516.6666666666666,850.0,700.0,0.0,650.0,0.0,300.0,850.0,500.0,400.0,0.0,0.0,0.0,650.0,700.0,0.0,0.0,0.0,850.0,500.0,0.0,500.0,0.0,300.0,500.0,500.0,300.0,0.0,0.0,0.0,550.0,650.0,0.0,0.0,0.0
